id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1017213521,Monastery St from St Thomas St to Monastery Ave,4th Division,1970-01-01,Concrete,208.0,15.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Monastery_St_from_St_Thomas_St_to_Monastery_Ave.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-3,40.42328736,-79.98512106
199900323,Montana St from Grizella St to Swanson St,1st Division,1964-01-01,Concrete,100.0,47.0,0.0,100.0,247.0,0.0,4.0,10.0,2.0,https://tools.wprdc.org/images/pittsburgh/steps/Montana_St_from_Grizella_St_to_Swanson_St.jpg,Perry North,1.0,26,42003260200,1,26,1,1-15,40.49370543,-80.01731239
1976386361,Montclair St from Tesla St to McCaslin St,3rd Division,,Brick/Concrete,87.0,8.0,0.0,100.0,923.0,48.0,9.0,8.0,3.0,https://tools.wprdc.org/images/pittsburgh/steps/Montclair_St_from_Tesla_St_to_McCaslin_St.jpg,Greenfield,5.0,15,42003151700,3,15,4,2-12,40.42011786,-79.93644576
1418944835,Monteiro St from McCaslin St to Bryson Way,3rd Division,,Concrete,116.0,48.0,0.0,100.0,721.0,52.0,7.0,8.0,5.0,https://tools.wprdc.org/images/pittsburgh/steps/Monteiro_St_from_McCaslin_St_to_Bryson_Way.jpg,Greenfield,5.0,15,42003151700,3,15,4,2-15,40.42616815,-79.93660414
1786853684,Monteiro St to Flemington,3rd Division,,Concrete,154.0,41.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Monteiro_St_to_Flemington.jpg,Greenfield,5.0,15,42003151700,3,15,4,2-15,40.42737799,-79.93301517
1152098951,Montooth St from Industry St to Proxim Way,4th Division,,Concrete,107.0,,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Montooth_St_from_Industry_St_to_Proxim_Way.jpg,Beltzhoover,3.0,18,42003562400,5,18,3,4-16,40.41959123,-80.00596344
369553782,Montooth St from Nina Way to Industry St,4th Division,,Concrete,141.0,,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Montooth_St_from_Nina_Way_to_Industry_St.jpg,Beltzhoover,3.0,18,42003562400,5,18,3,4-16,40.4200213,-80.00600085
1837969878,Montooth St from W Warrington Ave to Nina Way,4th Division,1988-01-01,Concrete,144.0,37.0,0.0,100.0,422.0,1381.0,10.0,4.0,6.0,https://tools.wprdc.org/images/pittsburgh/steps/Montooth_St_from_W_Warrington_Ave_to_Nina_Way.jpg,Beltzhoover,3.0,18,42003562400,5,18,3,4-16,40.42042102,-80.00602868
1282157287,Montview St to Wabana St,1st Division,1950-01-01,Concrete,120.0,73.0,0.0,100.0,420.0,67.0,6.0,8.0,3.0,https://tools.wprdc.org/images/pittsburgh/steps/Montview_St_to_Wabana_St.jpg,Perry North,1.0,26,42003260200,1,26,1,1-15,40.49184984,-80.02456344
2106814775,Moore Ave from Knox Ave to Brownsville Rd North,4th Division,1929-01-01,Concrete,93.0,25.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Moore_Ave_from_Knox_Ave_to_Brownsville_Rd_North.jpg,Knoxville,3.0,30,42003300100,5,30,3,4-7,40.41143682,-79.99014755
679774617,Moore Ave from Knox Ave to Brownsville Rd South,4th Division,,Concrete,93.0,24.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Moore_Ave_from_Knox_Ave_to_Brownsville_Rd_South.jpg,Knoxville,3.0,30,42003300100,5,30,3,4-7,40.41136943,-79.99017974
1334173360,Morgan St from Centre Ave to Elba St,3rd Division,1949-01-01,Concrete,138.0,54.0,1.0,4.0,791.0,240.0,8.0,3.0,9.0,https://tools.wprdc.org/images/pittsburgh/steps/Morgan_St_from_Centre_Ave_to_Elba_St.jpg,Middle Hill,6.0,5,42003050100,3,5,2,2-5,40.447936,-79.9667908
1992537094,Morrison St from St Marks Place to B St,1st Division,,Concrete,263.0,13.0,0.0,100.0,328.0,56.0,2.0,2.0,4.0,https://tools.wprdc.org/images/pittsburgh/steps/Morrison_St_from_St_Marks_Place_to_B_St.jpg,California-Kirkbride,6.0,25,42003250700,1,25,1,1-9,40.46047828,-80.02131282
56615664,Mosgrove St from Nobles Lane to Cloverdale St,4th Division,1973-01-01,Concrete,257.0,62.0,0.0,100.0,237.0,188.0,2.0,3.0,2.0,https://tools.wprdc.org/images/pittsburgh/steps/Mosgrove_St_from_Nobles_Lane_to_Cloverdale_St.jpg,Carrick,4.0,29,42003290100,3,29,3,4-23,40.39778591,-79.99731876
634815542,Moyer St to Chartiers Ave,5th Division,,Brick,307.0,50.0,0.0,100.0,838.0,89.0,10.0,9.0,8.0,https://tools.wprdc.org/images/pittsburgh/steps/Moyer_St_to_Chartiers_Ave.jpg,Sheraden,2.0,20,42003202200,5,20,6,1-16,40.45710455,-80.06610304
278499659,Mueller Ave from Crotzer Ave to Preston St,5th Division,,Brick/Asphalt,206.0,,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Mueller_Ave_from_Crotzer_Ave_to_Preston_St.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43606025,-80.05793833
982107039,Mueller Ave from Preston St to Sedley Way,5th Division,,Brick/Asphalt,62.0,,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Mueller_Ave_from_Preston_St_to_Sedley_Way.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43560183,-80.05799414
1461898992,Murdoch Rd from Hobart St to Gaurino Rd,3rd Division,,Asphalt/Wood,20.0,10.0,1.0,10.0,1659.0,119.0,10.0,10.0,9.0,https://tools.wprdc.org/images/pittsburgh/steps/Murdoch_Rd_from_Hobart_St_to_Gaurino_Rd.jpg,Squirrel Hill South,5.0,14,42003141300,3,14,4,2-21,40.4327546,-79.93049898
1894808994,Murray Ave at Beechwood Blvd,Construction,1928-01-01,Concrete,125.0,88.0,0.0,100.0,1185.0,452.0,10.0,8.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/Murray_Ave_at_Beechwood_Blvd.jpg,Greenfield,5.0,15,42003151700,3,15,4,2-15,40.42657836,-79.9271521
2044165941,Mutual St from Chartiers Ave to Kelvin St,5th Division,1950-01-01,Concrete/Wood,338.0,73.0,1.0,7.0,1080.0,78.0,7.0,2.0,9.0,https://tools.wprdc.org/images/pittsburgh/steps/Mutual_St_from_Chartiers_Ave_to_Kelvin_St.jpg,Sheraden,2.0,20,42003202200,5,20,6,1-16,40.45317615,-80.06306305
442193313,N Craig St at Bigelow Blvd,3rd Division,,Concrete,58.0,7.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/N_Craig_St_at_Bigelow_Blvd.jpg,North Oakland,6.0,5,42003562000,3,5,4,2-23,40.45636792,-79.95487573
